date,region,product,units,revenue
2023-01-01,West,Gamma,43,1027.82
2023-01-02,East,Gamma,4,924.78
2023-01-03,North,Beta,48,1072.55
2023-01-04,North,Gamma,49,1092.29
2023-01-05,East,Beta,43,865.49
2023-01-06,North,Delta,39,921.92
2023-01-07,South,Delta,45,1040.84
2023-01-08,North,Delta,47,1009.82
2023-01-09,North,Alpha,54,1038.28
2023-01-10,West,Epsilon,26,975.87
2023-01-11,North,Alpha,27,1118.95
2023-01-12,North,Epsilon,38,1115.29
2023-01-13,West,Alpha,12,1062.81
2023-01-14,North,Gamma,51,1152.15
2023-01-15,West,Alpha,46,1103.8
2023-01-16,North,Alpha,38,1002.07
2023-01-17,North,Delta,18,1104.72
2023-01-18,North,Delta,21,1002.89
2023-01-19,East,Alpha,26,1154.24
2023-01-20,East,Epsilon,40,1084.32
2023-01-21,South,Beta,46,1077.85
2023-01-22,North,Beta,40,1042.47
2023-01-23,North,Beta,55,1199.03
2023-01-24,East,Gamma,57,1093.12
2023-01-25,North,Alpha,42,1075.46
2023-01-26,East,Gamma,22,1085.76
2023-01-27,East,Beta,36,1160.71
2023-01-28,West,Alpha,26,1151.52
2023-01-29,South,Beta,38,1159.43
2023-01-30,North,Delta,48,1164.98
2023-01-31,South,Delta,22,1305.92
2023-02-01,West,Beta,30,1106.12
2023-02-02,East,Beta,3,1101.67
2023-02-03,East,Delta,44,1081.53
2023-02-04,South,Delta,29,1199.86
2023-02-05,North,Epsilon,28,1244.82
2023-02-06,West,Epsilon,32,1149.27
2023-02-07,West,Epsilon,13,1095.02
2023-02-08,West,Epsilon,36,1100.08
2023-02-09,West,Gamma,44,1221.86
2023-02-10,South,Beta,21,1233.01
2023-02-11,South,Beta,8,1220.7
2023-02-12,North,Beta,23,1127.66
2023-02-13,West,Delta,12,1203.1
2023-02-14,East,Delta,23,1197.44
2023-02-15,South,Epsilon,37,1209.13
2023-02-16,West,Alpha,7,1264.85
2023-02-17,East,Gamma,45,1216.47
2023-02-18,West,Beta,14,1256.31
2023-02-19,West,Epsilon,53,1210.76
2023-02-20,North,Beta,44,1231.81
2023-02-21,South,Alpha,17,1262.45
2023-02-22,East,Gamma,34,1098.6
2023-02-23,West,Epsilon,7,1192.78
