date,region,product,units,revenue,note
2023-01-01,north,Gamma,18,847.22,דבַֽÙֹ
2023-01-02,south,Epsilon,31,852.99,דבַֽÙֹ
2023-01-03,north,Beta,8,1040.26,דבַֽÙֹ
2023-01-04,west,Alpha,54,1025.24,דבַֽÙֹ
2023-01-05,south,Delta,54,,דבַֽÙֹ
2023-01-06,south,Beta,47,1003.74,דבַֽÙֹ
2023-01-07,north,Epsilon,21,1101.29,דבַֽÙֹ
2023-01-08,north,Gamma,4,1130.19,דבַֽÙֹ
2023-01-09,north,Epsilon,42,1101.72,דבַֽÙֹ
2023-01-10,north,Alpha,26,,דבַֽÙֹ
2023-01-11,east,Delta,59,909.21,דבַֽÙֹ
2023-01-12,west,Gamma,42,1146.75,דבַֽÙֹ
2023-01-13,west,Gamma,32,,דבַֽÙֹ
2023-01-14,south,Beta,59,1151.53,דבַֽÙֹ
2023-01-15,west,Epsilon,48,1036.95,דבַֽÙֹ
2023-01-16,east,Beta,28,1168.56,דבַֽÙֹ
2023-01-17,north,Epsilon,2,1190.82,דבַֽÙֹ
2023-01-18,north,Gamma,6,1253.99,דבַֽÙֹ
2023-01-19,east,Alpha,27,,דבַֽÙֹ
2023-01-20,south,Epsilon,34,1125.73,דבַֽÙֹ
2023-01-21,north,Alpha,2,1210.87,דבַֽÙֹ
2023-01-22,west,Beta,8,,דבַֽÙֹ
2023-01-23,east,Epsilon,42,1076.14,דבַֽÙֹ
2023-01-24,east,Epsilon,45,1205.88,דבַֽÙֹ
2023-01-25,west,Epsilon,2,1226.16,דבַֽÙֹ
2023-01-26,west,Gamma,30,1194.04,דבַֽÙֹ
2023-01-27,west,Delta,5,1211.68,דבַֽÙֹ
2023-01-28,south,Beta,43,,דבַֽÙֹ
2023-01-29,west,Delta,50,1326.51,דבַֽÙֹ
2023-01-30,east,Gamma,52,1143.22,דבַֽÙֹ
2023-01-31,east,Alpha,36,1175.29,דבַֽÙֹ
2023-02-01,west,Gamma,38,1230.12,דבַֽÙֹ
2023-02-02,north,Gamma,55,1306.5,דבַֽÙֹ
2023-02-03,south,Beta,37,1123.29,דבַֽÙֹ
2023-02-04,north,Beta,27,1145.13,דבַֽÙֹ
2023-02-05,south,Gamma,45,1093.78,דבַֽÙֹ
2023-02-06,south,Alpha,35,1266.21,דבַֽÙֹ
2023-02-07,west,Alpha,50,1180.9,דבַֽÙֹ
2023-02-08,west,Delta,31,1246.34,דבַֽÙֹ
2023-02-09,south,Beta,52,1336.71,דבַֽÙֹ
2023-02-10,south,Delta,3,1239.13,דבַֽÙֹ
2023-02-11,east,Gamma,3,1315.58,דבַֽÙֹ
2023-02-12,west,Gamma,6,1279.71,דבַֽÙֹ
2023-02-13,west,Gamma,33,1363.97,דבַֽÙֹ
2023-02-14,north,Gamma,42,1354.71,דבַֽÙֹ
2023-02-15,north,Epsilon,13,1267.8,דבַֽÙֹ
2023-02-16,east,Epsilon,10,1316.08,דבַֽÙֹ
2023-02-17,south,Beta,51,1419.45,דבַֽÙֹ
2023-02-18,north,Delta,45,,דבַֽÙֹ
2023-02-19,north,Epsilon,39,1236.81,דבַֽÙֹ
2023-02-20,south,Alpha,29,1407.26,דבַֽÙֹ
2023-02-21,south,Delta,25,,דבַֽÙֹ
2023-02-22,east,Gamma,2,1480.16,דבַֽÙֹ
2023-02-23,north,Epsilon,12,,דבַֽÙֹ
2023-02-24,east,Gamma,53,1402.51,דבַֽÙֹ
2023-02-25,east,Epsilon,21,1397.9,דבַֽÙֹ
2023-02-26,south,Alpha,42,1374.56,דבַֽÙֹ
2023-02-27,north,Alpha,42,1451.48,דבַֽÙֹ
2023-02-28,east,Epsilon,19,1373.39,דבַֽÙֹ
2023-03-01,east,Gamma,13,1427.71,דבַֽÙֹ
2023-03-02,south,Gamma,41,1484.38,דבַֽÙֹ
2023-03-03,south,Alpha,6,1375.39,דבַֽÙֹ
2023-03-04,east,Beta,30,1376.69,דבַֽÙֹ
2023-03-05,south,Epsilon,53,1336.05,דבַֽÙֹ
2023-03-06,south,Beta,42,1351.99,דבַֽÙֹ
2023-03-07,south,Gamma,46,1296.37,דבַֽÙֹ
2023-03-08,south,Beta,5,1506.47,דבַֽÙֹ
2023-03-09,east,Beta,12,1598.19,דבַֽÙֹ
2023-03-10,south,Alpha,17,1572.84,דבַֽÙֹ
2023-03-11,south,Epsilon,18,,דבַֽÙֹ
2023-03-12,east,Epsilon,12,1527.31,דבַֽÙֹ
2023-03-13,south,Alpha,58,,דבַֽÙֹ
2023-03-14,north,Beta,10,,דבַֽÙֹ
2023-03-15,west,Gamma,42,1492.78,דבַֽÙֹ
2023-03-16,north,Beta,35,1329.03,דבַֽÙֹ
2023-03-17,east,Delta,37,1515.95,דבַֽÙֹ
2023-03-18,south,Beta,13,1414.41,דבַֽÙֹ
2023-03-19,north,Alpha,19,1520.3,דבַֽÙֹ
2023-03-20,north,Beta,36,1384.2,דבַֽÙֹ
2023-03-21,west,Gamma,18,1557.24,דבַֽÙֹ
2023-03-22,south,Alpha,41,1600.43,דבַֽÙֹ
2023-03-23,south,Epsilon,3,1460.41,דבַֽÙֹ
2023-03-24,east,Alpha,5,,דבַֽÙֹ
2023-03-25,north,Alpha,43,1359.61,דבַֽÙֹ
2023-03-26,east,Gamma,37,1515.2,דבַֽÙֹ
2023-03-27,south,Gamma,3,,דבַֽÙֹ
2023-03-28,east,Beta,54,1421.1,דבַֽÙֹ
2023-03-29,north,Beta,1,1585.67,דבַֽÙֹ
2023-03-30,west,Alpha,57,,דבַֽÙֹ
2023-03-31,north,Delta,44,1471.68,דבַֽÙֹ
