التاريخ,المدينة,المبيعات
2024-01-01,عمان,485
2024-01-02,عمان,770
2024-01-03,الزرقاء,557
2024-01-04,عمان,146
2024-01-05,الزرقاء,139
2024-01-06,عمان,485
2024-01-07,عمان,423
2024-01-08,إربد,780
2024-01-09,الزرقاء,566
2024-01-10,عمان,705
2024-01-11,عمان,568
2024-01-12,الزرقاء,376
2024-01-13,إربد,625
2024-01-14,إربد,597
2024-01-15,الزرقاء,676
2024-01-16,الزرقاء,251
2024-01-17,إربد,613
2024-01-18,إربد,328
2024-01-19,عمان,732
2024-01-20,عمان,738
2024-01-21,إربد,599
2024-01-22,عمان,857
2024-01-23,الزرقاء,530
2024-01-24,الزرقاء,120
2024-01-25,عمان,584
2024-01-26,إربد,722
2024-01-27,عمان,180
2024-01-28,إربد,183
2024-01-29,عمان,318
2024-01-30,إربد,775
2024-01-31,إربد,521
2024-02-01,إربد,881
2024-02-02,إربد,798
2024-02-03,عمان,543
2024-02-04,الزرقاء,643
2024-02-05,الزرقاء,364
2024-02-06,الزرقاء,172
2024-02-07,إربد,418
2024-02-08,الزرقاء,573
2024-02-09,إربد,245
2024-02-10,الزرقاء,277
2024-02-11,عمان,111
2024-02-12,عمان,687
2024-02-13,إربد,819
2024-02-14,إربد,761
2024-02-15,الزرقاء,403
2024-02-16,عمان,574
2024-02-17,الزرقاء,868
2024-02-18,عمان,573
2024-02-19,إربد,336
2024-02-20,الزرقاء,370
2024-02-21,إربد,681
2024-02-22,الزرقاء,457
2024-02-23,الزرقاء,769
2024-02-24,الزرقاء,791
2024-02-25,إربد,128
2024-02-26,إربد,678
2024-02-27,عمان,395
2024-02-28,إربد,515
2024-02-29,الزرقاء,311
2024-03-01,إربد,394
2024-03-02,إربد,364
2024-03-03,عمان,140
2024-03-04,إربد,726
2024-03-05,عمان,214
2024-03-06,الزرقاء,400
2024-03-07,إربد,254
2024-03-08,عمان,228
2024-03-09,عمان,398
2024-03-10,الزرقاء,835
2024-03-11,الزرقاء,855
2024-03-12,الزرقاء,405
2024-03-13,عمان,504
2024-03-14,عمان,888
2024-03-15,عمان,287
2024-03-16,الزرقاء,855
2024-03-17,الزرقاء,184
2024-03-18,الزرقاء,280
2024-03-19,عمان,370
2024-03-20,عمان,129
2024-03-21,الزرقاء,752
2024-03-22,الزرقاء,784
2024-03-23,الزرقاء,406
2024-03-24,عمان,769
2024-03-25,عمان,718
2024-03-26,عمان,741
2024-03-27,الزرقاء,742
2024-03-28,الزرقاء,558
2024-03-29,إربد,188
2024-03-30,عمان,838
2024-03-31,الزرقاء,586
2024-04-01,عمان,821
2024-04-02,الزرقاء,867
2024-04-03,الزرقاء,249
2024-04-04,الزرقاء,421
2024-04-05,الزرقاء,253
2024-04-06,إربد,140
2024-04-07,إربد,873
2024-04-08,عمان,838
2024-04-09,الزرقاء,845
2024-04-10,الزرقاء,806
2024-04-11,عمان,619
2024-04-12,الزرقاء,517
2024-04-13,عمان,893
2024-04-14,إربد,541
2024-04-15,عمان,613
2024-04-16,إربد,269
2024-04-17,إربد,697
2024-04-18,إربد,755
2024-04-19,الزرقاء,642
2024-04-20,الزرقاء,498
2024-04-21,إربد,258
2024-04-22,الزرقاء,127
2024-04-23,إربد,601
2024-04-24,عمان,646
2024-04-25,عمان,718
2024-04-26,عمان,860
2024-04-27,الزرقاء,497
2024-04-28,إربد,763
2024-04-29,إربد,673
