date,region,product,units,revenue
2023-02-07,East,Gamma,18,1272.45
2023-08-24,North,Epsilon,28,958.47
2023-03-14,East,Alpha,12,1125.13
2024-12-16,North,Delta,5,1666.01
2024-10-07,East,Beta,46,1615.57
2023-05-25,West,Alpha,57,1212.81
2023-05-10,South,Delta,27,1219.59
2024-08-06,West,Epsilon,56,1609.97
2024-05-23,South,Epsilon,39,1836.88
2024-01-26,East,Beta,43,1602.17
2023-10-09,West,Gamma,3,1248.48
2023-06-28,East,Delta,2,1204.41
2023-10-04,North,Epsilon,23,1089.59
2023-09-12,West,Epsilon,46,1075.16
2023-12-24,East,Alpha,10,1389.16
2024-04-13,South,Delta,41,1781.81
2023-09-10,West,Beta,49,1184.27
2024-05-05,South,Beta,58,1804.37
2024-10-30,South,Alpha,24,1459.31
2024-02-03,West,Epsilon,55,1625.26
2024-07-16,North,Epsilon,25,1573.95
2024-08-03,South,Gamma,3,1573.62
2023-08-04,West,Gamma,26,1095.35
2024-05-18,South,Alpha,48,1518.13
2024-04-23,North,Alpha,13,1684.58
2023-03-28,South,Delta,29,1164.07
2023-05-22,West,Beta,11,1320.99
2024-01-29,East,Alpha,52,1473.8
2023-01-08,North,Gamma,28,887.73
2023-11-16,East,Delta,26,1287.06
2024-06-18,North,Epsilon,12,1593.34
2023-11-10,East,Delta,47,1145.77
2024-05-28,North,Alpha,8,1674.57
2023-11-13,North,Delta,23,1339.4
2023-07-29,West,Delta,29,1057.95
2023-09-22,West,Gamma,52,1097.48
2024-12-29,West,Beta,50,1825.0
2024-10-15,East,Delta,14,1517.62
2024-09-19,North,Delta,18,1390.89
2024-03-07,East,Delta,5,1715.93
2024-09-25,North,Beta,12,1457.71
2024-04-01,East,Beta,7,1702.0
2024-06-26,North,Delta,2,1801.9
2023-03-13,East,Gamma,58,1249.88
2024-01-23,West,Delta,41,1597.48
2024-03-30,West,Delta,27,1701.46
2024-07-15,East,Delta,19,1532.99
2023-11-10,East,Delta,47,1145.77
2024-05-30,North,Alpha,28,1781.47
2024-05-12,West,Delta,42,1754.23
2023-02-13,South,Alpha,48,1271.78
2024-08-11,West,Beta,42,1508.88
2023-01-27,West,Gamma,21,1135.06
2023-12-03,South,Beta,28,1270.8
2024-09-13,West,Delta,13,1364.22
2023-10-25,North,Beta,9,1129.47
2024-04-11,North,Beta,58,1854.49
2023-01-16,North,Epsilon,50,1035.58
2023-03-06,South,Beta,27,1203.17
2023-07-16,South,Epsilon,19,1125.04
2023-01-26,South,Delta,43,951.41
2024-01-03,East,Beta,38,1473.29
2024-04-16,West,Beta,19,1607.8
2023-10-10,North,Beta,31,1074.9
2024-10-27,East,Delta,2,1497.71
2024-09-08,North,Alpha,35,1524.89
2023-01-23,North,Epsilon,6,1147.96
2024-12-08,South,Gamma,35,1584.6
2023-05-07,North,Gamma,22,1224.65
2023-10-07,West,Alpha,37,1013.69
2024-01-17,North,Epsilon,21,1553.4
2023-12-23,North,Gamma,24,1209.14
2023-06-05,North,Gamma,27,1179.1
2023-11-10,East,Delta,47,1145.77
2024-08-18,North,Beta,47,1543.9
2023-06-16,South,Delta,54,1309.71
2024-10-10,North,Alpha,38,1561.41
2023-10-16,East,Alpha,54,1234.09
2024-02-23,West,Delta,17,1664.69
2023-10-07,West,Alpha,37,1013.69
2024-10-17,East,Epsilon,47,1588.01
2023-03-29,North,Beta,39,1344.3
2023-09-01,East,Alpha,3,1204.54
2023-12-15,West,Gamma,13,1275.23
2024-08-09,North,Beta,18,1510.06
2023-07-10,North,Epsilon,22,1172.76
2023-10-30,East,Epsilon,30,1165.0
2024-12-29,West,Beta,50,1825.0
2023-06-01,South,Beta,44,1259.24
2024-11-26,West,Alpha,52,1718.4
2023-11-18,South,Gamma,4,1197.27
2024-01-05,South,Alpha,53,1298.86
2023-09-11,South,Epsilon,53,1106.16
2024-04-06,North,Gamma,5,1704.85
2024-07-18,East,Delta,49,1514.7
2024-04-14,South,Beta,28,1651.4
2024-03-30,West,Delta,27,1701.46
2024-05-29,West,Epsilon,29,1542.51
2024-08-11,West,Beta,42,1508.88
