department,headcount,budget
HR,1,82238.13
Ops,27,21361.73
HR,18,21200.4
Sales,31,47505.9
Sales,25,88308.59
Sales,31,89387.65
HR,18,19662.93
IT,1,61686.76
Ops,6,24010.77
HR,18,71751.64
Sales,16,92478.99
Ops,31,50929.24
Ops,17,17477.45
Sales,34,62132.88
IT,8,46766.5
Sales,16,82980.89
IT,30,40631.0
Sales,5,88740.75
Sales,13,34633.04
Sales,30,24176.59
HR,23,37583.23
Ops,31,13142.42
Sales,21,35312.14
Ops,34,69410.59
Sales,35,22805.47
Ops,39,20022.85
Ops,5,21914.68
Ops,24,16979.65
Sales,5,88717.19
Sales,9,94970.36
HR,12,14190.5
IT,26,78406.46
IT,17,76343.66
Ops,34,99721.85
Sales,12,41308.36
IT,25,35695.81
HR,30,50777.39
Sales,39,87091.77
IT,10,75573.43
HR,29,52446.14
IT,4,32010.66
Ops,22,75431.42
HR,17,86907.42
IT,38,45995.61
Sales,31,70172.69
HR,37,46019.08
HR,34,53064.41
Ops,17,57241.93
Sales,29,79815.32
HR,2,97975.54
HR,22,49992.95
IT,2,40808.35
Sales,29,43623.19
Sales,38,22050.02
HR,27,36724.49
Sales,33,17780.27
Ops,10,48510.48
HR,39,25062.15
HR,22,41176.61
Ops,27,81422.0
Sales,31,32133.49
Ops,25,65070.52
IT,13,91106.33
IT,24,61023.63
HR,26,27441.34
HR,34,41028.96
IT,19,63133.23
HR,20,55595.0
Ops,20,23375.79
Sales,5,50211.67
Ops,4,58876.0
Sales,1,34059.94
IT,26,65120.1
Sales,17,16314.41
HR,34,40294.63
Ops,28,82384.91
Sales,6,33335.63
HR,4,64465.92
Sales,15,46902.67
Sales,36,38481.41
HR,2,92451.85
HR,8,40893.55
Ops,2,31300.83
IT,17,91837.12
Sales,39,77134.99
HR,27,71361.97
Sales,20,14458.14
HR,6,21808.45
IT,14,67450.6
Sales,21,28848.96
IT,11,30307.42
Sales,28,80122.47
HR,39,35733.25
IT,9,16442.86
Ops,10,13278.88
IT,5,49886.02
HR,29,65541.57
Ops,19,88199.67
Ops,12,19972.4
Sales,9,27700.55
Ops,3,57682.05
Ops,19,42769.75
Sales,27,53428.37
Sales,10,93171.22
HR,1,59040.25
Sales,19,47360.85
IT,27,99049.59
Ops,14,15869.41
IT,10,93890.21
Ops,7,55149.57
Sales,30,55338.07
Sales,34,92976.79
Ops,31,55659.16
IT,21,49456.64
IT,29,34523.97
IT,16,69293.51
Ops,1,61268.06
Ops,15,29291.09
HR,28,73847.16
IT,26,67967.82
IT,39,45760.05
Sales,39,10396.08
HR,10,50192.3
Sales,1,10545.23
Sales,11,16749.86
HR,35,48754.89
HR,32,17372.79
Sales,4,34809.89
IT,7,68994.22
Ops,22,37775.38
Ops,26,99788.37
Ops,39,92467.18
Sales,30,62677.89
Ops,9,97025.24
HR,2,88121.56
IT,25,38700.87
HR,22,77463.66
Sales,36,22314.86
Sales,23,71609.63
IT,20,54197.36
IT,12,11514.33
Sales,4,34680.68
HR,35,95984.4
Sales,33,38424.83
Sales,7,26330.9
HR,28,26877.83
HR,15,53129.19
IT,18,85838.43
Sales,34,78220.16
IT,33,49316.68
IT,8,28785.42
Sales,12,14145.84
HR,33,51636.73
Sales,36,83329.78
HR,4,75671.38
HR,33,46774.07
HR,20,63523.24
IT,24,49262.19
HR,3,62111.45
Ops,27,56575.47
IT,27,71286.99
Ops,26,55693.8
Ops,31,94654.99
Ops,37,48522.54
Ops,34,11432.47
HR,30,31273.62
IT,39,55054.62
Sales,27,58651.47
Sales,27,59714.63
HR,22,74309.69
Sales,30,34718.33
Ops,3,69841.33
Ops,20,73362.9
IT,17,47015.27
HR,36,46195.22
IT,3,26103.23
IT,26,47258.86
IT,8,80813.47
IT,35,91807.57
IT,34,63425.19
HR,10,36943.33
IT,34,71406.07
IT,20,76613.16
HR,38,39899.15
Ops,29,84389.31
Sales,2,16632.62
Ops,8,10967.83
Sales,16,21067.37
HR,9,24040.75
Ops,6,89103.61
IT,39,48248.35
Sales,34,34743.85
IT,17,48616.76
IT,9,45535.68
IT,8,37131.55
IT,36,22410.96
Sales,13,69032.39
Sales,1,22294.4
HR,16,79788.2
HR,18,28151.92
Ops,25,75823.42
Sales,14,82502.75
Ops,36,21279.34
Sales,26,17807.12
Sales,39,95461.55
Ops,15,51674.21
Sales,26,66721.19
IT,15,12093.44
Sales,28,35083.92
HR,30,55485.79
IT,13,89759.65
Sales,37,34429.55
HR,34,79767.22
Sales,35,69599.16
Sales,9,20374.37
IT,28,36403.77
HR,5,31407.76
Sales,5,49827.48
Ops,38,67180.08
Sales,6,49007.78
IT,34,32008.29
Sales,17,72629.09
IT,12,62602.4
IT,3,56738.25
IT,27,59897.76
HR,29,29971.06
Ops,19,71238.8
Sales,32,44875.05
HR,13,42712.1
Ops,22,23476.08
HR,12,63715.36
Sales,23,64239.8
HR,6,40627.06
IT,19,87386.51
Sales,22,86091.21
Ops,22,19814.89
Ops,18,72553.45
Ops,26,45445.13
HR,20,99974.34
HR,12,30252.13
Ops,9,35247.18
Ops,26,49789.57
IT,37,34184.36
HR,30,72279.4
Sales,25,53281.73
HR,36,29879.1
HR,36,55573.67
Ops,20,89990.9
IT,5,81315.61
HR,25,54894.6
Sales,25,35964.33
IT,11,26189.78
Sales,34,89054.46
Ops,34,73915.02
HR,13,61494.7
Sales,19,89149.12
Ops,8,20952.13
IT,7,71424.04
Ops,11,29504.11
IT,15,20851.97
IT,11,51904.77
Ops,6,44865.36
Sales,18,94705.62
Ops,25,39158.16
Ops,13,83341.2
Sales,21,77394.43
HR,11,70113.15
IT,28,92836.04
Ops,26,46713.21
Sales,38,45070.41
IT,3,24485.27
IT,34,34818.59
Ops,14,89179.88
HR,3,52694.39
HR,27,40721.8
Ops,7,29450.08
IT,7,53646.42
Ops,39,74499.88
Sales,9,35802.28
Ops,22,78194.49
Sales,8,66680.9
Ops,5,80880.63
Ops,1,32581.87
HR,1,66792.53
Ops,19,23836.18
Sales,17,42741.73
HR,2,75192.41
HR,14,66850.15
IT,11,26907.47
HR,23,87250.84
IT,39,14801.59
Ops,27,63569.41
IT,36,98543.85
HR,8,57835.43
IT,9,82060.46
HR,30,63566.29
Ops,13,80477.95
HR,34,69003.47
Ops,19,72201.88
IT,8,30503.0
