date,region,product,units,revenue
2023-01-01,West,Delta,19,1072.87
2023-01-02,North,Gamma,58,882.64
2023-01-03,North,Gamma,41,972.34
2023-01-04,West,Delta,14,1185.36
2023-01-05,East,Delta,15,977.8
2023-01-06,West,Beta,5,1014.89
2023-01-07,South,Beta,46,969.47
2023-01-08,East,Gamma,9,1073.03
2023-01-09,West,Beta,17,993.34
2023-01-10,South,Beta,21,1043.47
2023-01-11,East,Beta,37,1132.29
2023-01-12,East,Beta,36,1014.52
2023-01-13,West,Gamma,48,1139.55
2023-01-14,West,Gamma,18,1148.26
2023-01-15,East,Delta,23,1172.89
2023-01-16,East,Beta,23,1105.73
2023-01-17,West,Epsilon,3,1359.77
2023-01-18,East,Gamma,44,1190.79
2023-01-19,South,Delta,32,1138.36
2023-01-20,East,Alpha,29,1048.22
2023-01-21,East,Alpha,59,1116.44
2023-01-22,North,Gamma,11,1244.19
2023-01-23,East,Beta,58,1272.71
2023-01-24,East,Gamma,41,1260.05
2023-01-25,West,Alpha,14,1210.41
2023-01-26,East,Gamma,41,1052.94
2023-01-27,North,Delta,45,1198.13
2023-01-28,West,Delta,22,1065.58
2023-01-29,East,Beta,21,1051.61
2023-01-30,South,Beta,50,1195.42
2023-01-31,West,Gamma,10,1223.79
2023-02-01,South,Gamma,1,1259.83
2023-02-02,South,Delta,40,1232.93
2023-02-03,West,Beta,54,1241.24
2023-02-04,West,Delta,30,1125.47
2023-02-05,East,Epsilon,8,1201.34
2023-02-06,South,Beta,32,1094.63
2023-02-07,West,Epsilon,15,1060.35
2023-02-08,North,Beta,49,1285.26
2023-02-09,East,Beta,37,1171.11
2023-02-10,East,Delta,20,1306.48
2023-02-11,West,Delta,37,1330.62
2023-02-12,South,Gamma,40,1197.64
2023-02-13,West,Beta,41,1299.61
2023-02-14,North,Alpha,22,1204.65
2023-02-15,West,Epsilon,34,1114.99
2023-02-16,North,Epsilon,3,1277.59
2023-02-17,East,Epsilon,24,1235.09
2023-02-18,North,Gamma,23,1242.54
2023-02-19,West,Epsilon,32,1440.72
2023-02-20,West,Gamma,57,1165.52
2023-02-21,North,Alpha,57,1323.07
2023-02-22,West,Alpha,29,1217.66
2023-02-23,South,Beta,39,1374.66
2023-02-24,East,Beta,7,1330.59
2023-02-25,North,Epsilon,29,1341.72
2023-02-26,North,Beta,41,1240.4
2023-02-27,North,Delta,41,1259.31
2023-02-28,East,Beta,57,1399.25
2023-03-01,East,Delta,28,1471.2
2023-03-02,West,Gamma,54,1372.38
2023-03-03,North,Alpha,58,1266.52
2023-03-04,East,Gamma,34,1369.75
2023-03-05,North,Alpha,6,1541.09
2023-03-06,South,Epsilon,23,1359.29
2023-03-07,North,Delta,46,1472.2
2023-03-08,North,Epsilon,35,1300.12
2023-03-09,East,Epsilon,56,1360.03
2023-03-10,West,Beta,49,1416.95
2023-03-11,East,Delta,4,1403.11
2023-03-12,West,Alpha,51,1313.89
2023-03-13,East,Epsilon,22,1314.27
2023-03-14,North,Delta,49,1461.86
2023-03-15,South,Delta,30,1481.84
2023-03-16,West,Epsilon,27,1511.14
2023-03-17,North,Epsilon,5,1538.08
2023-03-18,North,Epsilon,8,1408.08
2023-03-19,West,Alpha,36,1375.9
2023-03-20,North,Alpha,34,1512.31
2023-03-21,West,Epsilon,33,1464.64
2023-03-22,West,Beta,10,1332.31
2023-03-23,East,Gamma,31,1331.47
2023-03-24,East,Alpha,4,1456.71
2023-03-25,North,Delta,9,1406.31
2023-03-26,South,Epsilon,30,1421.46
2023-03-27,West,Epsilon,37,1512.39
2023-03-28,West,Gamma,39,1490.27
2023-03-29,South,Delta,58,1538.84
2023-03-30,West,Gamma,51,1280.77
2023-03-31,West,Gamma,23,1458.35
2023-04-01,North,Gamma,47,1496.37
2023-04-02,East,Epsilon,6,1321.34
2023-04-03,East,Beta,51,1393.68
2023-04-04,East,Gamma,23,1381.38
2023-04-05,West,Delta,45,1452.84
2023-04-06,West,Gamma,58,1583.76
2023-04-07,East,Alpha,42,1617.71
2023-04-08,South,Beta,55,1393.07
2023-04-09,West,Delta,1,1502.59
2023-04-10,West,Delta,11,1507.36
2023-04-11,East,Delta,37,1495.8
2023-04-12,East,Epsilon,32,1498.78
2023-04-13,North,Delta,8,1493.18
2023-04-14,South,Gamma,43,1605.85
2023-04-15,North,Beta,4,1560.94
2023-04-16,East,Beta,59,1389.77
2023-04-17,West,Epsilon,10,1540.03
2023-04-18,North,Gamma,27,1549.49
2023-04-19,West,Delta,49,1504.97
2023-04-20,North,Alpha,31,1571.91
2023-04-21,North,Alpha,44,1498.0
2023-04-22,West,Beta,42,1500.5
2023-04-23,North,Alpha,56,1495.61
2023-04-24,East,Delta,28,1325.84
2023-04-25,West,Delta,58,1482.21
2023-04-26,South,Gamma,31,1436.47
2023-04-27,North,Beta,53,1396.24
2023-04-28,South,Gamma,44,1607.06
2023-04-29,North,Alpha,8,1533.8
2023-04-30,East,Gamma,38,1492.14
2023-05-01,West,Alpha,52,1450.37
2023-05-02,West,Alpha,8,1520.21
2023-05-03,West,Alpha,50,1576.75
2023-05-04,West,Alpha,7,1432.15
