order_date,region,product,units,revenue
2024-01-01,West,Beta,41,1038.44
02/01/2024,West,Epsilon,7,1026.35
01-03-2024,South,Delta,21,1005.06
04 Jan 2024,North,Epsilon,37,1025.81
2024-01-05,North,Epsilon,32,1143.03
06/01/2024,East,Gamma,41,1047.75
01-07-2024,East,Delta,40,1024.64
08 Jan 2024,West,Gamma,25,1019.86
2024-01-09,North,Gamma,47,1029.49
10/01/2024,North,Delta,16,970.39
01-11-2024,North,Delta,5,1031.28
12 Jan 2024,South,Epsilon,54,1219.93
2024-01-13,East,Delta,2,1092.26
14/01/2024,East,Delta,17,1173.85
01-15-2024,North,Epsilon,7,927.9
16 Jan 2024,East,Alpha,14,1180.36
2024-01-17,East,Delta,24,1130.66
18/01/2024,North,Beta,8,1113.7
01-19-2024,East,Gamma,28,1175.33
20 Jan 2024,South,Delta,55,1129.81
2024-01-21,North,Beta,9,1008.16
22/01/2024,South,Epsilon,55,1260.43
01-23-2024,West,Gamma,25,1214.64
24 Jan 2024,East,Beta,35,1178.62
2024-01-25,South,Beta,27,1134.95
26/01/2024,West,Gamma,19,1103.14
01-27-2024,South,Epsilon,7,1247.1
28 Jan 2024,South,Alpha,36,1366.69
2024-01-29,North,Gamma,55,1262.28
30/01/2024,West,Epsilon,31,1143.78
01-31-2024,West,Gamma,36,1280.75
01 Feb 2024,North,Gamma,38,1266.79
2024-02-02,East,Beta,23,1348.47
03/02/2024,West,Alpha,8,1336.14
02-04-2024,East,Delta,30,1056.96
05 Feb 2024,North,Epsilon,52,1347.63
2024-02-06,West,Gamma,19,1231.89
07/02/2024,South,Gamma,52,1206.54
02-08-2024,South,Alpha,51,1313.29
09 Feb 2024,South,Epsilon,15,1369.29
2024-02-10,West,Epsilon,34,1213.16
11/02/2024,East,Epsilon,45,1408.75
02-12-2024,East,Beta,30,1421.38
13 Feb 2024,West,Delta,42,1371.97
2024-02-14,West,Gamma,54,1306.65
15/02/2024,West,Beta,38,1305.52
02-16-2024,West,Beta,50,1473.71
17 Feb 2024,West,Beta,48,1278.46
2024-02-18,West,Gamma,48,1492.19
19/02/2024,East,Alpha,51,1401.46
02-20-2024,North,Delta,14,1414.6
21 Feb 2024,North,Gamma,2,1293.16
2024-02-22,West,Epsilon,10,1425.57
23/02/2024,South,Beta,15,1493.85
02-24-2024,West,Alpha,41,1345.25
25 Feb 2024,West,Beta,31,1499.41
2024-02-26,East,Epsilon,28,1473.95
27/02/2024,West,Beta,1,1422.59
02-28-2024,South,Delta,41,1549.67
29 Feb 2024,South,Epsilon,22,1312.28
2024-03-01,West,Beta,45,1523.3
02/03/2024,West,Delta,7,1632.18
03-03-2024,North,Beta,18,1624.83
04 Mar 2024,West,Beta,4,1547.77
2024-03-05,South,Beta,17,1499.35
06/03/2024,West,Delta,55,1479.47
03-07-2024,East,Epsilon,29,1512.89
