month,revenue,cogs,opex,net_income
2021-01-01,604898.27,429497.94,233157.03,-57756.7
2021-02-01,776790.86,364708.73,202176.13,209906.0
2021-03-01,788815.05,511446.46,246401.94,30966.65
2021-04-01,749636.29,308882.48,269942.17,170811.64
2021-05-01,834553.9,439877.34,191889.91,202786.65
2021-06-01,965936.94,480405.38,179328.37,306203.19
2021-07-01,730795.65,369994.42,182085.9,178715.33
2021-08-01,831703.95,515872.98,161201.55,154629.42
2021-09-01,950985.01,360071.14,197285.54,393628.33
2021-10-01,909198.16,509968.57,152091.01,247138.58
2021-11-01,616293.31,319636.24,163727.47,132929.6
2021-12-01,977116.31,339981.9,182603.49,454530.92
2022-01-01,618658.76,395246.15,169183.53,54229.08
2022-02-01,835503.39,513513.88,237859.09,84130.42
2022-03-01,830141.45,336146.34,162672.57,331322.54
2022-04-01,914556.09,518859.56,253919.29,141777.24
2022-05-01,659377.22,357432.88,176533.74,125410.6
2022-06-01,671748.16,413127.1,163030.87,95590.19
2022-07-01,900842.77,388183.6,151212.8,361446.37
2022-08-01,659801.9,329531.56,235824.6,94445.74
2022-09-01,787778.05,536077.43,180794.01,70906.61
2022-10-01,892659.24,409544.57,211139.83,271974.84
2022-11-01,860496.77,472582.82,163393.93,224520.02
2022-12-01,684241.67,443816.92,268235.51,-27810.76
2023-01-01,721584.1,425428.98,165046.17,131108.95
2023-02-01,987589.96,454144.41,199431.11,334014.44
2023-03-01,779468.25,524585.58,252197.94,2684.73
2023-04-01,617782.99,474828.09,179386.43,-36431.53
2023-05-01,687833.96,433120.02,182036.61,72677.33
2023-06-01,736974.04,461296.49,247019.94,28657.61
2023-07-01,999795.76,451598.57,182800.76,365396.43
2023-08-01,721076.62,408280.3,150344.56,162451.76
2023-09-01,610558.34,456191.0,201349.65,-46982.31
2023-10-01,805168.63,410892.45,151504.23,242771.95
2023-11-01,633442.15,489403.59,259175.07,-115136.51
2023-12-01,709627.04,542228.12,227017.59,-59618.67
2024-01-01,996953.27,539966.34,219961.71,237025.22
2024-02-01,881855.41,505183.95,174190.74,202480.72
2024-03-01,620266.65,450439.72,233993.54,-64166.61
2024-04-01,779474.69,487333.0,231270.56,60871.13
2024-05-01,668655.01,344512.07,157255.63,166887.31
2024-06-01,649177.86,419754.61,255701.58,-26278.33
2024-07-01,834826.17,364326.19,219529.6,250970.38
2024-08-01,802262.36,300873.75,245096.03,256292.58
2024-09-01,897146.63,541684.39,181549.69,173912.55
2024-10-01,956922.49,515962.14,164645.74,276314.61
2024-11-01,698672.74,428424.65,234293.95,35954.14
2024-12-01,969196.79,363538.07,245265.92,360392.8
