employee_id,department,tenure_years,salary,attrition
1,Finance,7.5,43454.0,no
2,Engineering,7.5,45649.0,no
3,Sales,3.9,30853.0,no
4,Support,0.8,42965.0,yes
5,Engineering,2.5,74299.0,yes
6,Support,1.9,81326.0,no
7,Finance,1.5,83894.0,no
8,Support,11.1,53395.0,no
9,Engineering,0.2,49165.0,yes
10,Support,7.2,89992.0,no
11,Sales,11.4,76160.0,no
12,Support,4.3,62241.0,no
13,Support,6.3,45286.0,no
14,Engineering,8.3,49278.0,no
15,Engineering,3.8,60922.0,no
16,Engineering,5.7,62525.0,no
17,Engineering,9.8,30821.0,no
18,Sales,8.9,87564.0,no
19,Engineering,9.7,64536.0,no
20,Finance,11.8,65349.0,no
21,Finance,4.4,42688.0,no
22,Engineering,9.0,75899.0,no
23,Sales,7.2,74236.0,yes
24,Support,8.0,35709.0,no
25,Support,8.9,65700.0,no
26,Support,9.0,69492.0,no
27,Finance,10.6,80134.0,no
28,Support,4.2,42365.0,no
29,Support,7.8,82658.0,yes
30,Support,3.4,57689.0,no
31,Support,7.1,35791.0,no
32,Sales,9.0,36337.0,no
33,Support,9.5,41868.0,no
34,Finance,5.0,46965.0,no
35,Sales,6.1,59784.0,no
36,Engineering,4.0,74925.0,no
37,Support,2.0,41204.0,no
38,Finance,3.1,89559.0,no
39,Finance,10.9,39691.0,no
40,Support,3.7,65963.0,yes
41,Finance,11.7,85736.0,no
42,Sales,2.9,79950.0,no
43,Sales,8.7,68873.0,no
44,Sales,6.9,72930.0,yes
45,Sales,8.4,38052.0,yes
46,Support,7.7,30580.0,no
47,Finance,8.5,56049.0,no
48,Sales,10.9,35371.0,no
49,Engineering,6.8,51465.0,no
50,Finance,0.8,43425.0,no
51,Finance,3.2,84981.0,no
52,Finance,8.5,82803.0,yes
53,Sales,5.9,79137.0,no
54,Support,6.6,72837.0,no
55,Support,7.2,39244.0,no
56,Finance,4.6,32902.0,no
57,Finance,9.3,69233.0,no
58,Finance,8.7,68535.0,no
59,Sales,8.6,52165.0,no
60,Engineering,8.6,58361.0,no
61,Engineering,10.7,59349.0,no
62,Finance,7.1,44396.0,no
63,Finance,11.6,48850.0,no
64,Engineering,1.4,55103.0,no
65,Sales,7.6,66191.0,yes
66,Engineering,8.6,87349.0,no
67,Sales,5.7,62309.0,no
68,Support,3.5,73870.0,no
69,Support,6.6,78420.0,no
70,Sales,4.4,36810.0,yes
71,Sales,10.9,69187.0,no
72,Support,4.3,58927.0,yes
73,Support,2.1,64346.0,no
74,Engineering,6.9,32305.0,no
75,Engineering,4.8,84373.0,no
76,Sales,1.2,87167.0,yes
77,Sales,6.8,30209.0,no
78,Finance,6.5,42767.0,no
79,Finance,2.1,40812.0,no
80,Support,7.2,76878.0,yes
81,Engineering,6.8,65885.0,yes
82,Engineering,9.3,40640.0,no
83,Sales,4.3,78838.0,yes
84,Support,3.0,51208.0,no
85,Support,11.4,57651.0,yes
86,Engineering,6.7,53238.0,no
87,Finance,0.3,61283.0,no
88,Sales,9.8,58809.0,no
89,Support,2.4,46475.0,no
