sku,warehouse,on_hand,reorder_point,unit_cost
SKU-0000,B,243,52,39.79
SKU-0001,B,481,106,84.38
SKU-0002,B,318,101,21.25
SKU-0003,A,11,100,17.72
SKU-0004,C,262,108,37.89
SKU-0005,A,291,43,43.54
SKU-0006,B,21,105,89.01
SKU-0007,B,192,37,80.25
SKU-0008,B,435,53,46.77
SKU-0009,A,178,75,92.57
SKU-0010,C,228,94,62.81
SKU-0011,B,110,77,83.63
SKU-0012,A,38,75,27.15
SKU-0013,A,159,57,49.01
SKU-0014,B,386,79,7.67
SKU-0015,B,491,67,5.8
SKU-0016,B,330,67,68.49
SKU-0017,C,415,78,15.65
SKU-0018,C,324,80,54.3
SKU-0019,C,329,52,67.64
SKU-0020,C,213,33,7.9
SKU-0021,C,30,49,45.39
SKU-0022,C,205,60,66.57
SKU-0023,B,432,36,85.08
SKU-0024,B,268,37,31.93
SKU-0025,B,380,115,92.68
SKU-0026,A,25,48,81.01
SKU-0027,C,100,93,63.56
SKU-0028,B,149,32,40.27
SKU-0029,B,179,117,69.0
SKU-0030,C,493,41,78.46
SKU-0031,C,230,59,32.3
SKU-0032,C,331,98,94.35
SKU-0033,C,322,40,86.78
SKU-0034,C,209,74,48.7
SKU-0035,A,483,98,70.05
SKU-0036,A,111,22,52.16
SKU-0037,A,17,22,73.48
SKU-0038,C,372,98,79.43
SKU-0039,C,326,46,7.09
SKU-0040,C,130,110,12.12
SKU-0041,C,433,112,35.28
SKU-0042,C,81,108,87.59
SKU-0043,C,125,119,40.84
SKU-0044,C,77,102,84.88
SKU-0045,A,93,58,46.62
SKU-0046,B,364,119,31.0
SKU-0047,B,351,54,86.06
SKU-0048,B,321,78,55.46
SKU-0049,B,430,20,37.44
SKU-0050,A,34,116,9.0
SKU-0051,A,310,79,14.98
SKU-0052,A,57,114,17.54
SKU-0053,A,477,55,37.84
SKU-0054,C,316,51,59.66
SKU-0055,B,379,72,32.68
SKU-0056,C,285,106,10.9
SKU-0057,C,191,74,28.83
SKU-0058,C,342,99,41.78
SKU-0059,A,417,41,94.3
SKU-0060,B,89,97,40.37
SKU-0061,A,435,93,13.03
SKU-0062,A,363,109,57.3
SKU-0063,A,42,25,87.77
SKU-0064,A,468,58,75.8
SKU-0065,A,90,28,80.26
SKU-0066,C,300,60,88.54
SKU-0067,B,64,95,62.29
SKU-0068,B,98,84,94.54
SKU-0069,B,321,95,8.0
SKU-0070,C,339,93,80.14
SKU-0071,A,343,119,82.13
SKU-0072,B,171,107,87.5
SKU-0073,A,410,78,48.04
SKU-0074,B,24,107,75.9
SKU-0075,B,427,24,22.56
SKU-0076,C,151,92,59.28
SKU-0077,B,310,72,37.28
SKU-0078,A,452,115,58.66
SKU-0079,B,127,70,65.8
SKU-0080,C,205,37,36.24
SKU-0081,B,414,92,24.46
SKU-0082,B,432,115,33.95
SKU-0083,A,117,21,64.76
SKU-0084,A,254,26,65.92
SKU-0085,A,166,86,71.72
SKU-0086,A,258,75,16.39
SKU-0087,B,189,74,78.67
SKU-0088,C,2,29,66.93
SKU-0089,B,462,77,7.75
SKU-0090,B,318,76,35.2
SKU-0091,C,230,104,47.0
SKU-0092,C,53,59,37.46
SKU-0093,B,35,54,15.57
SKU-0094,C,239,28,23.66
SKU-0095,A,324,76,7.21
SKU-0096,B,130,84,13.38
SKU-0097,B,372,48,28.97
SKU-0098,C,196,93,78.8
SKU-0099,B,5,113,52.4
SKU-0100,C,268,37,43.2
SKU-0101,A,90,77,64.59
SKU-0102,A,7,89,53.74
SKU-0103,C,65,21,16.84
SKU-0104,C,142,37,25.04
SKU-0105,C,257,59,25.03
SKU-0106,A,494,33,59.0
SKU-0107,A,109,55,46.55
SKU-0108,A,28,34,39.88
SKU-0109,B,95,109,55.1
SKU-0110,B,159,79,92.31
SKU-0111,C,102,52,33.28
SKU-0112,C,160,97,51.82
SKU-0113,C,484,21,48.23
SKU-0114,A,189,79,69.5
SKU-0115,A,317,88,70.73
SKU-0116,B,342,100,70.62
SKU-0117,B,65,42,23.14
SKU-0118,C,123,79,45.42
SKU-0119,A,207,96,78.01
SKU-0120,A,230,99,39.34
SKU-0121,A,6,37,93.58
SKU-0122,C,322,117,37.83
SKU-0123,C,150,47,49.79
SKU-0124,C,161,59,47.71
SKU-0125,B,301,39,44.03
SKU-0126,A,474,34,81.11
SKU-0127,C,432,45,18.97
SKU-0128,A,489,33,56.09
SKU-0129,A,206,93,60.67
SKU-0130,C,59,79,81.61
SKU-0131,B,107,59,59.83
SKU-0132,A,171,74,91.4
SKU-0133,B,150,80,83.5
SKU-0134,A,103,38,36.39
SKU-0135,A,75,49,82.39
SKU-0136,C,93,108,91.26
SKU-0137,A,329,21,28.15
SKU-0138,C,245,115,59.92
SKU-0139,B,18,116,30.36
SKU-0140,B,281,45,63.46
SKU-0141,C,421,52,13.43
SKU-0142,B,212,40,71.08
SKU-0143,A,159,76,42.78
SKU-0144,C,136,41,57.86
SKU-0145,B,189,99,7.33
SKU-0146,B,139,58,67.59
SKU-0147,B,462,116,49.64
SKU-0148,B,496,105,61.27
SKU-0149,B,171,60,33.41
SKU-0150,C,461,79,18.12
SKU-0151,A,426,22,44.19
SKU-0152,B,37,26,89.96
SKU-0153,B,245,70,25.5
SKU-0154,B,328,67,65.83
SKU-0155,A,211,59,9.49
SKU-0156,B,228,29,69.63
SKU-0157,A,247,103,26.46
SKU-0158,B,344,60,45.64
SKU-0159,C,146,67,38.1
SKU-0160,B,298,60,15.16
SKU-0161,C,121,69,36.1
SKU-0162,B,444,84,36.51
SKU-0163,A,42,96,51.99
SKU-0164,B,33,74,92.51
SKU-0165,A,18,36,47.3
SKU-0166,C,174,107,87.3
SKU-0167,C,303,48,46.54
SKU-0168,B,492,21,14.68
SKU-0169,C,227,23,25.71
SKU-0170,A,91,97,41.68
SKU-0171,A,184,58,34.28
SKU-0172,A,63,22,82.92
SKU-0173,B,235,101,66.08
SKU-0174,A,364,50,57.05
SKU-0175,B,17,117,49.21
SKU-0176,C,388,107,40.75
SKU-0177,B,114,24,60.1
SKU-0178,B,336,89,16.21
SKU-0179,A,407,80,19.63
SKU-0180,A,388,37,32.28
SKU-0181,C,334,54,20.41
SKU-0182,C,346,69,65.94
SKU-0183,A,93,34,7.23
SKU-0184,A,67,92,19.42
SKU-0185,C,190,47,86.23
SKU-0186,A,304,113,94.78
SKU-0187,B,309,100,48.88
SKU-0188,C,388,83,49.58
SKU-0189,C,154,31,74.61
SKU-0190,B,432,22,8.26
SKU-0191,B,224,34,43.43
SKU-0192,C,123,69,13.98
SKU-0193,C,367,98,41.08
SKU-0194,C,63,35,93.54
SKU-0195,B,202,90,72.83
SKU-0196,C,390,24,93.65
SKU-0197,C,385,46,72.14
SKU-0198,A,128,79,59.73
SKU-0199,A,83,102,72.88
SKU-0200,C,15,97,64.32
SKU-0201,A,44,73,46.77
SKU-0202,C,412,23,31.33
SKU-0203,B,391,49,51.82
SKU-0204,A,252,98,28.26
SKU-0205,B,285,28,48.8
SKU-0206,C,163,90,18.15
SKU-0207,C,96,90,55.89
SKU-0208,B,5,95,27.08
SKU-0209,A,335,41,31.42
SKU-0210,C,17,44,49.91
SKU-0211,C,52,39,19.63
SKU-0212,B,396,59,91.61
SKU-0213,B,291,72,45.22
SKU-0214,B,244,31,36.71
SKU-0215,A,109,76,7.63
SKU-0216,A,74,43,80.89
SKU-0217,A,233,76,61.33
SKU-0218,C,179,50,42.48
SKU-0219,A,267,115,27.1
SKU-0220,B,82,51,72.06
SKU-0221,B,115,107,90.09
SKU-0222,A,56,37,39.27
SKU-0223,C,212,28,17.14
SKU-0224,A,138,38,14.83
SKU-0225,C,111,61,5.57
SKU-0226,C,274,110,71.96
SKU-0227,C,248,37,93.33
SKU-0228,A,105,98,94.35
SKU-0229,C,349,89,75.58
SKU-0230,B,171,54,19.6
SKU-0231,B,170,53,92.99
SKU-0232,C,238,114,34.5
SKU-0233,B,69,91,35.03
SKU-0234,A,210,43,66.86
SKU-0235,A,291,111,9.41
SKU-0236,B,64,60,79.32
SKU-0237,B,282,27,94.76
SKU-0238,A,19,101,74.76
SKU-0239,A,301,106,75.35
SKU-0240,C,17,64,40.13
SKU-0241,B,87,90,10.93
SKU-0242,C,175,43,76.34
SKU-0243,A,307,105,58.74
SKU-0244,A,359,56,86.84
SKU-0245,A,234,46,15.44
SKU-0246,B,65,70,32.46
SKU-0247,C,193,46,37.46
SKU-0248,B,393,82,66.5
SKU-0249,A,45,94,75.9
SKU-0250,C,357,60,91.49
SKU-0251,B,192,98,31.59
SKU-0252,B,1,63,49.43
SKU-0253,A,347,117,7.61
SKU-0254,B,13,46,27.77
SKU-0255,B,184,90,38.66
SKU-0256,C,97,73,58.44
SKU-0257,A,291,114,47.38
SKU-0258,A,28,41,37.8
SKU-0259,C,45,39,61.17
SKU-0260,B,265,106,79.58
SKU-0261,A,496,110,26.75
SKU-0262,A,19,94,35.86
SKU-0263,B,230,67,68.44
SKU-0264,B,401,61,75.01
SKU-0265,A,145,86,79.29
SKU-0266,B,246,94,23.84
SKU-0267,C,419,47,53.53
SKU-0268,C,363,20,86.0
SKU-0269,B,146,27,40.28
SKU-0270,B,375,54,43.69
SKU-0271,B,337,88,93.63
SKU-0272,A,253,64,15.17
SKU-0273,A,220,81,68.5
SKU-0274,C,462,66,81.52
SKU-0275,A,437,45,18.57
SKU-0276,C,495,94,69.3
SKU-0277,A,337,92,47.28
SKU-0278,C,179,116,81.76
SKU-0279,C,54,102,86.67
SKU-0280,C,62,57,83.52
SKU-0281,C,475,90,10.79
SKU-0282,A,181,55,73.12
SKU-0283,B,55,107,87.94
SKU-0284,B,111,81,60.92
SKU-0285,B,10,103,59.08
SKU-0286,A,265,48,9.05
SKU-0287,C,295,21,82.04
SKU-0288,A,189,34,9.18
SKU-0289,C,372,73,33.22
SKU-0290,C,240,116,88.33
SKU-0291,A,479,82,90.48
SKU-0292,C,381,100,94.27
SKU-0293,B,37,66,47.88
SKU-0294,A,137,115,20.97
SKU-0295,C,377,114,48.92
SKU-0296,A,268,41,14.21
SKU-0297,A,376,106,83.53
SKU-0298,C,167,21,55.45
SKU-0299,C,19,79,41.41
SKU-0300,A,392,63,12.16
SKU-0301,A,392,50,41.47
SKU-0302,A,319,113,82.96
SKU-0303,A,202,86,68.31
SKU-0304,A,4,33,12.42
SKU-0305,B,363,33,19.39
SKU-0306,A,330,31,40.31
SKU-0307,A,333,50,14.12
SKU-0308,A,85,26,89.06
