customer_id,country,lifetime_value,orders
1,JO,,2
2,AE,2732.82,23
3,EG,3734.21,15
4,AE,2305.14,38
5,JO,2271.25,17
6,AE,2586.73,21
7,AE,1762.31,23
8,AE,216.69,38
9,EG,1586.02,35
10,EG,3601.01,41
11,AE,,21
12,AE,3709.69,41
13,AE,611.33,43
14,SA,2023.83,26
15,SA,2338.91,34
16,AE,839.7,45
17,AE,803.88,42
18,SA,3128.13,14
19,JO,2687.41,36
20,AE,2588.75,22
21,AE,1067.95,8
22,SA,2027.08,19
23,SA,92.28,48
24,JO,519.78,47
25,,2073.0,39
26,EG,1238.69,49
27,AE,3862.68,29
28,SA,,38
29,AE,334.26,9
30,SA,71.37,15
31,,,9
32,JO,686.03,46
33,JO,751.25,31
34,AE,1695.23,46
35,JO,1056.24,21
36,AE,2466.31,20
37,EG,1942.77,34
38,JO,445.8,28
39,SA,3138.96,19
40,AE,1703.44,16
41,EG,2443.34,26
42,SA,15.77,4
43,JO,2505.6,10
44,AE,1131.4,3
45,SA,1977.48,8
46,EG,1190.88,10
47,AE,3985.04,4
48,JO,923.37,3
49,EG,3651.44,41
50,SA,3671.87,9
51,JO,1684.0,28
52,AE,1216.01,5
53,EG,1524.14,47
54,AE,3957.36,12
55,JO,2475.18,37
56,AE,2179.12,32
57,JO,143.67,38
58,SA,3391.37,31
59,SA,335.22,25
60,JO,187.89,38
61,SA,1099.43,40
62,EG,1903.15,19
63,JO,3581.16,47
64,EG,3160.32,49
65,AE,790.53,36
66,SA,1488.32,46
67,JO,3120.96,6
68,JO,2108.37,27
69,JO,697.97,32
70,AE,1584.22,46
71,,2503.74,6
72,EG,3892.9,40
73,JO,2647.25,4
74,JO,64.78,18
75,JO,2820.03,34
76,,1003.46,15
77,JO,3448.64,41
78,JO,1535.56,46
79,AE,798.46,8
80,AE,1871.79,13
81,JO,1020.79,4
82,AE,943.29,35
83,JO,2293.05,44
84,JO,3069.39,30
85,JO,3339.82,7
86,SA,1590.68,9
87,,267.22,2
88,SA,1935.9,25
89,EG,1735.13,36
90,SA,787.92,8
91,AE,3584.58,42
92,,3896.59,13
93,SA,206.99,26
94,,3182.99,33
95,AE,2582.87,27
96,AE,,24
97,JO,2540.62,17
98,AE,514.57,22
99,SA,277.63,12
100,,3973.96,15
101,EG,2545.48,38
102,SA,1012.89,44
103,EG,1800.14,42
104,EG,3800.35,17
105,AE,1754.9,16
106,JO,3601.78,3
107,JO,3475.24,14
108,JO,1376.63,29
109,JO,2784.04,14
110,,2641.99,36
111,JO,3084.85,3
112,AE,1463.72,21
113,AE,208.95,14
114,AE,,25
115,JO,2466.21,2
116,AE,3100.4,21
117,AE,3024.19,39
118,AE,2334.73,42
119,JO,,13
120,AE,69.15,22
121,JO,3128.57,34
122,AE,2197.51,23
123,SA,3130.85,27
124,JO,651.15,17
125,EG,1629.69,42
126,JO,3676.68,31
127,EG,686.39,48
128,EG,246.11,39
129,SA,2613.87,18
130,SA,2378.15,17
131,JO,3808.12,5
132,EG,3625.87,31
133,AE,2997.72,37
134,JO,76.63,18
135,SA,1921.55,2
136,JO,3584.41,41
137,AE,1734.6,11
138,SA,3848.58,29
139,JO,2609.95,3
140,EG,437.83,4
141,JO,2037.09,45
142,SA,2782.47,33
143,AE,,1
144,,1378.6,5
145,SA,2868.32,25
146,EG,628.29,34
147,SA,1393.36,21
148,EG,2759.64,43
149,JO,3102.16,32
150,AE,2074.05,31
151,JO,3827.43,15
152,,3701.32,34
153,,1893.75,43
154,SA,,3
155,SA,3091.73,36
156,AE,972.56,44
157,JO,3371.29,22
158,AE,2348.58,38
159,AE,1576.37,18
160,SA,2225.53,10
161,JO,2131.24,40
162,EG,3698.93,16
163,JO,857.45,38
164,AE,3712.63,16
165,JO,125.36,20
166,JO,3076.81,34
167,JO,3678.67,17
168,SA,1576.21,40
169,AE,292.27,2
170,SA,,1
171,AE,3371.46,5
172,AE,1345.03,13
173,JO,2074.37,3
174,JO,3237.88,19
175,AE,768.17,2
176,AE,2515.9,38
177,AE,1722.52,8
178,JO,697.66,48
179,EG,3325.76,42
180,JO,1298.72,35
181,AE,3737.7,40
182,JO,2275.74,38
183,AE,2058.04,42
184,SA,1693.22,28
185,AE,1602.68,31
186,JO,3271.87,23
187,AE,2710.0,31
188,JO,3094.76,19
189,AE,1684.34,7
190,JO,,46
191,JO,347.46,35
192,AE,3106.62,35
193,JO,1661.11,14
194,JO,,38
195,EG,1877.37,26
196,EG,1724.55,4
197,EG,2735.6,47
198,SA,2434.94,49
199,SA,3888.22,43
200,EG,555.62,24
201,JO,2294.08,12
202,AE,252.96,1
203,JO,3231.67,37
204,EG,2465.25,44
205,AE,1713.52,6
206,SA,3208.94,34
207,SA,1820.01,2
208,JO,911.14,39
209,SA,1890.0,2
210,AE,283.33,48
211,SA,3591.44,9
212,SA,,20
213,JO,3041.26,35
214,AE,3497.97,42
215,SA,3166.29,18
216,JO,1727.41,49
217,EG,474.55,1
218,SA,1493.46,24
219,SA,3736.34,49
220,,3796.36,14
221,SA,3071.48,27
222,EG,817.72,22
223,AE,777.8,20
224,AE,3519.09,38
225,JO,567.66,26
226,JO,2336.55,35
227,SA,1513.01,26
228,JO,1208.04,49
229,JO,2709.53,24
230,AE,3838.28,40
231,AE,3110.53,31
232,JO,1944.65,40
233,AE,1762.85,44
234,EG,3630.66,12
235,AE,2312.43,15
236,EG,1986.56,15
237,AE,2731.34,24
238,JO,948.62,25
239,SA,,1
240,EG,3420.45,44
241,AE,,43
242,EG,659.51,30
243,,1192.19,15
244,JO,3959.73,41
245,SA,2537.69,14
246,AE,2544.45,15
247,JO,288.65,49
248,AE,3875.97,46
249,EG,3571.13,29
250,AE,2191.13,9
251,JO,1237.56,7
252,AE,2792.22,48
253,JO,3333.5,14
254,EG,3144.49,34
255,JO,3908.19,18
256,EG,2547.42,25
257,SA,1284.9,49
258,SA,1991.71,30
259,SA,3265.27,22
260,JO,1061.37,21
261,SA,925.63,12
262,EG,,28
263,EG,1777.71,28
264,JO,3266.28,5
265,AE,574.73,20
266,EG,,32
267,EG,,3
268,SA,2791.47,48
269,JO,3037.32,43
270,EG,1824.01,32
271,SA,1912.12,1
272,SA,528.13,26
273,EG,2807.31,45
274,JO,3969.27,2
275,EG,3111.69,39
276,JO,892.45,42
277,AE,2492.49,4
278,,1179.83,12
279,,120.71,36
280,EG,719.29,45
281,EG,410.37,38
282,JO,783.73,26
283,,3182.42,30
284,EG,1171.33,26
285,SA,,29
286,SA,3795.45,38
287,JO,2297.09,3
288,AE,1941.64,11
289,AE,3000.51,3
290,SA,388.36,40
291,SA,1712.85,36
292,AE,1995.3,3
293,JO,3324.21,6
294,,3256.87,13
295,JO,3393.06,12
296,JO,2791.49,26
297,JO,2122.22,25
298,EG,3311.52,18
299,EG,3493.13,9
300,JO,1921.94,32
301,JO,3942.65,39
302,SA,3499.27,32
303,JO,2041.88,40
304,AE,277.15,45
305,JO,897.97,42
306,SA,3105.59,32
307,SA,444.62,3
308,SA,1879.2,17
309,SA,2419.41,21
310,JO,3513.39,35
311,JO,3388.46,42
312,JO,3057.11,32
313,JO,1630.78,18
314,,,39
315,JO,,35
316,SA,725.15,40
317,JO,2245.26,29
318,EG,3922.71,32
319,EG,2201.24,18
320,EG,2582.23,20
321,AE,,14
322,EG,,13
323,SA,1739.92,32
324,EG,1990.04,19
325,EG,703.89,7
326,JO,2458.72,2
327,SA,1183.03,43
328,JO,2030.5,22
329,JO,3066.23,29
330,EG,70.28,45
331,JO,2255.66,6
332,AE,,46
333,,1117.53,35
334,SA,138.85,32
335,SA,677.85,22
336,AE,3946.52,35
337,EG,3994.09,10
338,JO,,15
339,JO,2447.43,48
340,AE,3108.03,14
341,EG,3586.22,36
342,JO,,46
343,SA,141.14,30
344,,2837.58,15
345,JO,3938.41,42
346,JO,1032.21,41
347,AE,1853.86,27
348,JO,,6
349,JO,1561.87,22
350,AE,2885.6,22
351,AE,1513.62,10
352,SA,3764.34,20
353,SA,3158.63,8
354,AE,110.59,34
355,AE,3274.2,22
356,EG,3091.43,36
357,EG,2065.97,23
358,AE,1987.27,35
359,EG,3342.11,36
360,EG,1699.14,8
361,JO,,22
362,,1251.6,37
363,EG,1060.81,30
364,SA,2724.24,11
365,JO,715.49,41
366,AE,2579.09,10
367,SA,1863.87,49
368,AE,3358.64,35
369,SA,1939.99,16
370,JO,3719.22,10
371,JO,3601.88,45
372,EG,741.15,26
373,JO,2744.67,40
374,AE,858.5,41
375,JO,3293.22,4
376,SA,2542.89,34
377,SA,1176.47,17
378,JO,996.49,45
379,AE,1718.31,11
380,AE,3202.89,2
381,JO,3184.65,33
382,SA,133.5,28
383,AE,1209.15,28
384,AE,1691.4,13
385,SA,2342.33,25
386,EG,598.11,48
387,JO,1341.13,38
388,JO,3542.39,49
389,AE,1906.19,17
390,AE,,43
391,EG,1939.11,19
392,JO,,46
393,SA,2487.7,43
394,AE,1037.46,9
395,JO,999.21,48
396,SA,3957.42,30
397,AE,3475.97,39
398,JO,2951.02,29
399,SA,548.58,11
400,JO,120.9,49
401,EG,,6
402,JO,3750.92,40
403,JO,3265.16,11
404,JO,2092.3,39
405,JO,3875.12,21
406,JO,586.33,12
407,AE,2236.6,12
408,JO,732.89,16
409,JO,1225.71,45
410,JO,3760.54,38
411,SA,3473.11,33
412,JO,407.2,31
413,AE,998.18,21
414,AE,2378.03,45
415,AE,245.41,14
416,JO,2200.34,47
417,EG,2337.97,19
418,AE,1163.87,17
419,JO,1172.49,24
420,SA,916.32,37
421,EG,3742.71,35
422,SA,1555.48,38
423,SA,2341.08,5
424,AE,1206.3,8
425,JO,2810.66,42
426,,405.77,49
427,JO,286.57,7
428,JO,2977.14,45
429,JO,2906.67,13
430,SA,1060.01,48
431,EG,1420.19,49
432,EG,3829.04,32
433,EG,417.32,10
434,SA,,39
435,SA,,5
436,SA,1128.4,17
437,JO,2596.03,32
438,EG,,4
439,SA,2105.55,20
440,SA,2444.79,40
441,SA,1733.68,5
442,EG,3041.55,18
443,JO,168.39,1
444,AE,1251.57,33
445,AE,2737.72,4
446,EG,1318.58,14
447,JO,314.14,26
448,JO,1380.05,11
449,SA,2845.98,12
450,EG,487.94,41
451,,,39
452,AE,3101.82,4
453,JO,2541.2,43
454,JO,976.94,23
455,AE,3221.18,8
456,JO,857.77,45
457,AE,3623.28,17
458,EG,,16
459,SA,218.88,8
460,SA,3197.15,44
461,JO,2025.73,15
462,JO,1810.6,30
463,AE,1682.04,12
464,SA,2426.52,44
465,JO,2898.31,39
466,JO,3583.91,25
467,JO,1091.78,17
468,AE,2523.11,33
469,AE,2745.37,25
470,SA,2699.19,47
471,SA,1972.0,34
472,JO,1564.09,2
473,SA,3049.52,41
474,JO,1200.04,10
475,EG,832.21,15
476,JO,2183.32,22
477,SA,1070.44,11
478,JO,132.93,47
479,EG,206.3,48
480,JO,2780.04,8
481,EG,3892.58,16
482,JO,1818.75,19
483,EG,,33
484,AE,3272.33,30
485,JO,1045.74,34
486,JO,3982.51,2
487,SA,2253.06,26
488,EG,930.53,11
489,EG,1984.02,12
490,JO,1341.53,38
491,SA,3117.89,7
492,JO,423.26,2
493,JO,3428.01,24
494,AE,3069.35,37
495,SA,3445.46,26
496,JO,3579.97,8
497,EG,919.11,38
498,AE,2084.02,19
499,EG,3399.69,35
500,JO,1509.55,10
501,EG,241.63,45
502,AE,1166.54,14
503,SA,967.68,48
504,JO,3480.25,19
505,EG,1855.39,36
506,SA,2734.18,25
507,EG,,4
508,AE,1196.75,5
509,EG,3044.8,20
510,AE,91.06,10
511,EG,416.46,30
512,JO,647.46,7
513,JO,1249.67,29
514,AE,1611.95,11
515,SA,1908.06,9
516,AE,981.33,18
517,AE,264.86,29
518,SA,2710.09,20
519,EG,94.65,18
520,SA,3237.88,17
521,EG,3716.62,17
522,JO,2841.48,20
523,AE,2383.84,41
524,EG,2628.07,29
525,JO,2608.89,21
526,SA,3726.82,37
527,SA,3857.22,26
528,AE,1706.85,47
529,SA,2468.32,28
530,JO,3211.23,11
531,EG,4.15,28
532,JO,2108.06,38
533,SA,2611.51,11
534,AE,2868.82,10
535,JO,1475.16,30
536,JO,1182.58,44
537,,728.57,17
538,AE,2231.26,25
539,JO,3677.21,33
540,EG,,33
541,SA,,8
542,JO,1031.42,20
543,AE,3155.18,49
544,SA,2899.92,44
545,JO,2021.36,38
546,EG,1556.12,2
547,JO,495.19,21
548,JO,3140.55,3
549,JO,2469.86,15
550,EG,1507.53,43
551,AE,3675.15,20
552,EG,2638.69,9
553,JO,3716.96,36
554,EG,1897.65,38
555,AE,1818.47,33
556,SA,3748.96,40
557,JO,,35
558,EG,3843.07,32
559,JO,3275.59,44
560,AE,1849.62,16
561,SA,841.2,23
562,JO,1533.76,28
563,,3753.19,33
564,EG,1454.22,24
565,SA,3026.87,22
566,AE,,9
567,SA,3881.57,32
568,AE,3790.7,7
569,JO,2220.23,24
570,SA,1967.52,21
571,SA,3950.56,39
572,SA,872.72,24
573,SA,750.12,1
574,JO,3852.73,25
575,,2756.78,11
576,JO,2145.22,19
577,JO,528.2,15
578,SA,2052.96,9
