date,region,product,units,revenue
2023-01-01,East,Delta,56,1106.49
2023-01-02,North,Alpha,55,1015.12
2023-01-03,North,Beta,25,1051.78
2023-01-04,North,Alpha,55,1029.85
2023-01-05,East,Gamma,5,1052.92
2023-01-06,South,Alpha,19,1012.47
2023-01-07,North,Alpha,18,1139.21
2023-01-08,East,Gamma,42,1141.39
2023-01-09,East,Gamma,36,1260.97
2023-01-10,East,Beta,28,1219.5
2023-01-11,North,Gamma,16,1275.11
2023-01-12,West,Gamma,30,1308.27
2023-01-13,North,Delta,16,1371.54
2023-01-14,East,Gamma,30,1364.04
2023-01-15,East,Epsilon,21,1352.3
2023-01-16,North,Beta,53,1475.01
2023-01-17,South,Alpha,45,1584.44
2023-01-18,North,Gamma,11,1540.19
2023-01-19,South,Alpha,56,1511.98
2023-01-20,East,Delta,39,1581.75
2023-01-21,South,Beta,21,1458.36
2023-01-22,East,Beta,32,1642.05
2023-01-23,West,Gamma,12,1651.95
2023-01-24,North,Alpha,3,1640.05
2023-01-25,South,Beta,25,1685.29
2023-01-26,North,Epsilon,47,1743.34
2023-01-27,East,Delta,21,1886.23
2023-01-28,North,Gamma,23,1924.84
2023-01-29,West,Gamma,59,1793.85
2023-01-30,South,Gamma,59,1857.25
